,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
292,Coachella,1,1598756577,37,33.68,-116.17,102.0,12.75,US
293,Robinsonville,5,1598756730,43,31.47,-97.11,95.0,8.05,US
294,Abu Samrah,0,1598756731,46,35.3,37.18,71.06,1.7,SY
295,Jiaxing,75,1598756731,70,30.75,120.75,89.01,4.47,CN
296,Tual,96,1598756731,84,-5.67,132.75,79.25,21.14,ID
297,Kirakira,89,1598756731,75,-10.45,161.92,85.33,13.38,SB
298,Zabaykal'sk,100,1598756731,89,49.63,117.32,55.85,3.69,RU
299,Mirzāpur,20,1598756732,74,25.15,82.58,86.0,6.93,IN
300,Zeulenroda,100,1598756732,75,50.65,11.98,55.99,2.01,DE
301,Kumul,0,1598756732,23,42.8,93.45,74.5,3.96,CN
302,Divnomorskoye,0,1598756732,47,44.5,38.14,68.76,9.24,RU
303,Cabra,54,1598756732,32,37.47,-4.44,68.0,6.93,ES
304,Manzhouli,100,1598756733,89,49.6,117.43,55.85,3.15,CN
305,Dahra,40,1598756733,53,36.25,0.85,73.4,3.36,DZ
306,Nantucket,75,1598756602,94,41.28,-70.1,71.6,10.29,US
307,Soure,82,1598756733,81,-0.72,-48.52,80.38,13.27,BR
308,Mercedes,0,1598756733,78,-34.65,-59.43,45.0,4.0,AR
309,Tagusao,100,1598756733,66,9.19,117.81,86.76,6.02,PH
310,Nanjing,75,1598756733,66,32.06,118.78,87.8,2.24,CN
311,Mudgee,0,1598756596,55,-32.59,149.59,66.99,10.29,AU
312,Benghazi,0,1598756734,51,32.12,20.07,78.75,5.41,LY
313,Fairlie,89,1598756734,87,55.76,-4.86,46.99,3.02,GB
314,Carlyle,23,1598756734,82,38.61,-89.37,70.0,6.73,US
315,Swan Hill,38,1598756734,35,-35.34,143.55,69.71,18.7,AU
316,Norman Wells,20,1598756734,48,65.28,-126.83,57.2,6.93,CA
317,San Quintín,0,1598756599,74,30.48,-115.95,69.93,10.27,MX
318,Price,1,1598756735,15,39.6,-110.81,82.4,9.17,US
319,Ojinaga,1,1598756735,18,29.57,-104.42,98.6,12.75,MX
320,Hong Kong,35,1598756724,59,22.29,114.16,89.01,4.0,HK
321,Bantry,40,1598756735,87,51.68,-9.45,46.4,6.93,IE
322,Chhabra,28,1598756735,82,24.67,76.83,80.67,4.76,IN
323,Yarovoy,0,1598756735,61,52.93,78.58,68.72,8.68,RU
324,Ribeira Grande,51,1598756579,94,38.52,-28.7,74.5,7.38,PT
325,São Filipe,76,1598756736,84,14.9,-24.5,78.76,8.9,CV
326,Howard Springs,53,1598756736,24,-12.5,131.05,91.0,11.41,AU
327,Umm Kaddadah,4,1598756736,59,13.6,26.69,80.64,6.82,SD
328,Ippy,100,1598756736,96,6.27,21.22,68.85,1.61,CF
329,Belaya Gora,74,1598756585,52,68.53,146.42,50.47,4.63,RU
330,Nishihara,75,1598756736,79,26.18,127.76,89.6,10.29,JP
331,Caucaia,20,1598756737,78,-3.74,-38.65,79.0,19.46,BR
332,Araouane,32,1598756737,53,18.9,-3.53,85.64,13.58,ML
333,Elliot,19,1598756737,94,-31.33,27.85,30.9,2.37,ZA
334,Arlit,19,1598756737,47,18.74,7.39,87.96,9.33,NE
335,Urengoy,100,1598756737,81,65.97,78.37,50.56,10.33,RU
336,Chilca,90,1598756737,82,-12.52,-76.74,60.8,9.17,PE
337,Santa Lucía,75,1598756738,68,27.91,-15.54,73.0,18.34,ES
338,Dublin,1,1598756738,47,37.7,-121.94,75.2,8.05,US
339,Lata,0,1598756738,82,40.16,-8.33,60.01,1.99,PT
340,Shache,97,1598756738,25,38.42,77.24,76.98,7.07,CN
341,Alice Springs,0,1598756548,10,-23.7,133.88,80.6,5.82,AU
342,Kidal,1,1598756738,68,18.44,1.41,79.34,9.53,ML
343,Jamame,24,1598756739,88,0.07,42.75,74.75,6.55,SO
344,Oruzgan,0,1598756739,21,32.83,66.0,70.07,4.85,AF
345,Tonekābon,75,1598756739,88,36.82,50.87,73.4,4.7,IR
346,Esna,0,1598756739,42,25.29,32.55,82.4,8.52,EG
347,Novikovo,74,1598756739,84,51.15,37.89,58.75,4.72,RU
348,Kantābānji,0,1598756740,79,20.48,82.92,81.05,6.89,IN
349,Kishtwār,0,1598756740,51,33.32,75.77,71.76,0.56,IN
350,Inírida,91,1598756740,98,3.87,-67.92,72.97,1.43,CO
351,Ludvika,84,1598756740,100,60.15,15.19,51.01,4.7,SE
352,Kaduqli,52,1598756740,93,11.02,29.72,70.75,2.73,SD
353,Havelock,40,1598756740,83,34.88,-76.9,82.0,8.05,US
354,Zhigansk,100,1598756741,76,66.77,123.37,53.82,8.55,RU
355,Kota Bharu,20,1598756741,74,6.13,102.24,86.0,3.36,MY
356,Codrington,100,1598756741,75,-38.27,141.97,56.28,17.31,AU
357,Estelle,1,1598756741,100,29.85,-90.11,84.0,6.62,US
358,Cajati,0,1598756741,79,-24.74,-48.12,68.86,2.33,BR
359,Hashimoto,40,1598756714,84,34.32,135.62,93.99,6.93,JP
360,Bagdarin,99,1598756741,87,54.43,113.6,52.92,1.77,RU
361,Necochea,3,1598756742,82,-38.55,-58.74,36.0,4.0,AR
362,Brownwood,75,1598756588,32,31.71,-98.99,93.2,11.41,US
363,Kahului,1,1598756742,52,20.89,-156.47,87.8,27.51,US
364,Saldanha,15,1598756742,64,-33.01,17.94,35.6,1.12,ZA
365,Monrovia,88,1598756524,86,6.3,-10.8,75.87,12.37,LR
366,Ixtapa,90,1598756564,74,20.7,-105.2,84.2,1.36,MX
367,Edd,68,1598756742,58,13.93,41.69,91.38,1.1,ER
368,Tuskegee,100,1598756743,100,32.42,-85.69,80.01,1.01,US
369,Bima,31,1598756743,38,-8.47,118.72,91.89,5.19,ID
370,Lucapa,0,1598756743,70,-8.42,20.74,70.95,2.35,AO
371,Kushiro,75,1598756743,100,42.98,144.37,53.6,6.93,JP
372,Olafsvik,100,1598756743,89,64.89,-23.71,52.12,14.47,IS
373,Ailigandí,99,1598756743,85,9.23,-78.02,78.73,5.19,PA
374,Coquimbo,100,1598756744,87,-29.95,-71.34,51.8,2.24,CL
375,Bolobo,97,1598756744,87,-2.17,16.23,72.45,1.9,CD
376,Torbay,75,1598756722,82,47.67,-52.73,55.99,19.46,CA
377,Quang Ngai,4,1598756744,55,15.12,108.8,91.18,3.98,VN
378,Saint-François,77,1598756744,87,46.42,3.91,53.6,8.05,FR
379,Nyagan,98,1598756728,81,62.14,65.39,57.52,10.09,RU
380,Den Helder,75,1598756597,82,52.96,4.76,64.0,5.82,NL
381,Kalabo,98,1598756745,46,-14.97,22.68,76.05,6.89,ZM
382,Evensk,75,1598756745,52,61.95,159.23,58.05,7.31,RU
383,Sangar,100,1598756745,64,63.92,127.47,53.19,10.25,RU
384,Flin Flon,100,1598756745,79,54.77,-101.86,58.37,17.16,CA
385,Antofagasta,90,1598756532,82,-23.65,-70.4,55.4,8.05,CL
386,Prince Rupert,20,1598756472,82,54.32,-130.32,57.2,3.36,CA
387,Kichera,97,1598756745,69,55.94,110.1,60.06,2.44,RU
388,Sept-Îles,75,1598756522,76,50.2,-66.38,53.01,8.05,CA
389,Dolores,0,1598756746,78,-36.31,-57.68,36.79,7.18,AR
390,Brønnøysund,100,1598756746,93,65.46,12.2,46.4,1.12,NO
391,Mizhhirya,0,1598756746,76,48.52,23.51,62.01,24.0,UA
392,Wangou,68,1598756746,60,42.06,126.91,75.83,3.71,CN
393,Sesimbra,43,1598756746,68,38.44,-9.1,64.4,12.75,PT
394,Tynda,74,1598756598,56,55.17,124.72,61.74,4.03,RU
395,Arrondissement de Bayonne,61,1598756747,82,43.33,-1.42,60.8,3.36,FR
396,Kamina,31,1598756747,68,-8.74,24.99,68.86,3.62,CD
397,Sharanga,80,1598756747,98,57.18,46.54,51.4,8.01,RU
398,San Carlos del Zulia,1,1598756747,86,9.0,-71.91,76.03,0.56,VE
399,Carballo,20,1598756747,82,43.21,-8.69,57.2,5.66,ES
400,Comodoro Rivadavia,94,1598756748,48,-45.87,-67.5,44.6,28.86,AR
401,Río Gallegos,85,1598756748,83,-51.62,-69.22,39.2,25.28,AR
402,Camapuã,0,1598756748,21,-19.53,-54.04,73.65,1.63,BR
403,Hamilton,90,1598756455,60,39.18,-84.53,75.99,9.17,US
404,Monticello,1,1598756748,82,45.31,-93.79,62.01,1.41,US
405,Stornoway,95,1598756748,93,58.21,-6.39,51.01,5.82,GB
406,Gigmoto,100,1598756749,62,13.78,124.39,85.66,7.7,PH
407,Mollendo,99,1598756749,85,-17.02,-72.01,58.69,9.04,PE
408,Belmonte,75,1598756749,94,-15.86,-38.88,69.8,5.82,BR
409,Luganville,75,1598756749,79,-15.53,167.17,79.48,14.72,VU
410,Port Hedland,0,1598756749,11,-20.32,118.57,96.8,19.46,AU
411,Suoyarvi,98,1598756749,96,62.08,32.35,44.69,4.47,RU
412,Mossamedes,0,1598756583,77,-15.2,12.15,59.11,1.25,AO
413,Mackenzie,1,1598756750,58,55.3,-123.17,55.4,3.4,CA
414,Deputatsky,96,1598756750,72,69.3,139.9,42.24,4.38,RU
415,Bodden Town,5,1598756750,84,19.28,-81.25,84.99,8.01,KY
416,Gravdal,100,1598756750,86,68.12,13.5,47.07,11.97,NO
417,Itarema,73,1598756750,78,-2.92,-39.92,78.48,18.97,BR
418,Champerico,100,1598756750,94,14.3,-91.92,64.99,4.85,GT
419,Tongren,12,1598756751,62,27.72,109.19,85.46,4.68,CN
420,Urman,100,1598756751,89,54.88,56.87,62.08,3.71,RU
421,Chetwayi,40,1598756751,83,10.53,76.05,82.4,4.7,IN
422,Colac,92,1598756614,80,-38.33,143.58,57.99,8.99,AU
423,Kandava,84,1598756751,96,57.04,22.77,55.51,8.75,LV
424,Inhambane,18,1598756631,87,-23.86,35.38,71.38,4.0,MZ
425,Benguela,57,1598756751,85,-12.58,13.41,66.54,1.7,AO
426,Churapcha,100,1598756752,40,62.0,132.43,60.67,12.24,RU
427,Kavieng,30,1598756752,67,-2.57,150.8,85.86,12.68,PG
428,Saint-Augustin,100,1598756752,64,51.23,-58.65,53.67,5.77,CA
429,Beidao,100,1598756752,82,34.57,105.89,59.99,7.25,CN
430,Chernolesskoye,0,1598756752,47,44.72,43.71,65.26,3.33,RU
431,Boa Vista,40,1598756753,78,2.82,-60.67,80.6,2.24,BR
432,Kristinestad,97,1598756753,72,62.27,21.38,52.88,5.1,FI
433,Abu Dhabi,63,1598756593,71,24.47,54.37,93.2,6.93,AE
434,Lithakia,0,1598756753,78,37.72,20.83,71.6,3.83,GR
435,Kyshtovka,99,1598756753,78,56.55,76.63,60.73,3.15,RU
436,Yablonovo,95,1598756754,87,50.85,37.36,57.2,6.71,RU
437,Wakkanai,75,1598756754,72,45.41,141.67,60.8,21.92,JP
438,Toamasina,75,1598756754,93,-18.17,49.38,66.2,3.36,MG
439,Payakumbuh,78,1598756754,63,-0.22,100.63,82.26,3.33,ID
440,Coyhaique,40,1598756754,89,-45.58,-72.07,41.0,4.7,CL
441,El Jícaro,98,1598756755,72,14.92,-89.9,75.69,1.21,GT
442,Tubli,100,1598756755,66,13.93,124.15,84.96,10.58,PH
443,Kumluca,0,1598756755,33,36.37,30.29,86.85,4.7,TR
444,Mitsamiouli,0,1598756755,74,-11.38,43.28,75.06,9.89,KM
445,Visby,36,1598756756,82,57.64,18.3,61.0,11.41,SE
446,Haines Junction,8,1598756615,58,60.75,-137.51,53.94,5.23,CA
447,Marsh Harbour,63,1598756756,71,26.54,-77.06,84.15,7.67,BS
448,Sesheke,70,1598756756,49,-17.48,24.3,71.6,5.82,ZM
449,Schwandorf,90,1598756756,93,49.33,12.11,57.0,3.36,DE
450,Sehithwa,52,1598756757,32,-20.47,22.72,59.67,9.51,BW
451,Mandurah,88,1598756757,48,-32.55,115.7,61.0,13.87,AU
452,Bengkulu,78,1598756757,56,-3.8,102.27,86.79,4.9,ID
453,Xaltianguis,75,1598756757,83,17.07,-99.83,80.6,2.24,MX
454,Nador,89,1598756757,27,35.17,-2.93,77.0,8.05,MA
455,Great Yarmouth,100,1598756665,99,52.61,1.73,59.0,11.99,GB
456,Diego de Almagro,23,1598756758,61,-26.37,-70.05,45.03,1.61,CL
457,Belyy Yar,80,1598756758,82,53.6,91.39,60.8,4.47,RU
458,Ust-Maya,100,1598756758,37,60.42,134.53,65.19,8.81,RU
459,Lensk,32,1598756758,59,60.73,114.93,67.84,6.2,RU
460,Murgab,0,1598756758,40,37.5,61.97,69.8,4.7,TM
461,Mājalgaon,96,1598756759,78,19.15,76.23,77.76,9.66,IN
462,Santa María del Oro,89,1598756759,53,25.93,-105.37,73.13,3.67,MX
463,Amahai,75,1598756759,81,-3.33,128.92,80.62,9.51,ID
464,Omboué,100,1598756759,88,-1.57,9.26,73.49,7.9,GA
465,Ilulissat,42,1598756760,90,69.22,-51.1,39.2,5.82,GL
466,Manadhoo,95,1598756760,68,5.77,73.38,83.05,7.05,MV
467,Pochutla,99,1598756625,90,15.74,-96.47,78.01,2.68,MX
468,Kruisfontein,47,1598756760,70,-34.0,24.73,45.0,3.0,ZA
469,Pámfila,0,1598756760,69,39.16,26.52,73.4,2.24,GR
470,Westport,90,1598756760,88,41.14,-73.36,77.0,5.82,US
471,Pestovo,100,1598756761,91,58.59,35.8,53.26,6.38,RU
472,Tautira,40,1598756761,65,-17.73,-149.15,82.4,8.05,PF
473,Boo,100,1598756761,100,59.33,18.28,54.0,6.93,SE
474,Yuza,75,1598756761,74,39.0,139.92,87.8,13.87,JP
475,Gurupá,85,1598756761,87,-1.41,-51.64,76.5,4.52,BR
476,Porlamar,100,1598756762,94,10.96,-63.85,78.8,10.29,VE
477,Sambava,60,1598756762,84,-14.27,50.17,69.08,11.74,MG
478,Denpasar,20,1598756762,70,-8.65,115.22,84.2,18.34,ID
479,Santa Cruz de la Sierra,0,1598756576,78,-17.8,-63.17,77.0,5.82,BO
480,Ulladulla,0,1598756762,25,-35.35,150.47,75.2,18.34,AU
481,Birobidzhan,100,1598756763,91,48.8,132.95,52.61,4.94,RU
482,Grand Gaube,1,1598756763,69,-20.01,57.66,71.01,7.0,MU
483,Assiut,0,1598756763,39,27.18,31.18,78.8,6.93,EG
484,Ovruch,0,1598756763,70,51.32,28.8,61.75,5.7,UA
485,Tura,100,1598756582,86,25.52,90.22,80.31,5.21,IN
486,Stăniţa,0,1598756763,68,47.02,27.1,68.0,10.29,RO
487,Fuerte Olimpo,0,1598756764,26,-21.04,-57.87,77.9,5.01,PY
488,Willowmore,5,1598756764,97,-33.29,23.49,31.66,8.43,ZA
489,Havre-St-Pierre,90,1598756764,87,50.23,-63.6,48.2,4.7,CA
490,Jacareacanga,30,1598756764,76,-6.22,-57.75,75.81,1.54,BR
491,Lebrija,100,1598756764,77,36.92,-6.08,64.99,3.36,ES
492,Ekhabi,0,1598756765,58,53.51,142.97,58.05,7.67,RU
493,Krasnyy Yar,2,1598756765,77,46.53,48.35,62.6,6.71,RU
494,Ketchikan,75,1598756732,87,55.34,-131.65,57.2,10.29,US
495,Aykhal,90,1598756583,43,66.0,111.5,55.4,2.24,RU
496,Cairns,75,1598756765,78,-16.92,145.77,77.0,17.22,AU
497,Puteyets,100,1598756765,84,65.17,57.09,50.56,2.75,RU
498,Honiara,20,1598756582,67,-9.43,159.95,93.2,16.11,SB
499,Rome,20,1598756612,68,43.21,-75.46,66.2,13.87,US
500,Natal,75,1598756766,78,-5.79,-35.21,77.0,12.75,BR
501,Newport,25,1598756766,77,51.59,-3.0,55.0,1.99,GB
502,Puerto Escondido,100,1598756766,76,15.85,-97.07,80.29,2.01,MX
503,Esil,37,1598756766,49,51.96,66.4,71.73,5.73,KZ
504,Costa Rica,0,1598756602,67,-23.42,-54.65,66.4,3.58,BR
505,Tessalit,0,1598756767,55,20.2,1.01,81.68,13.06,ML
506,Barranca,85,1598756767,84,-10.75,-77.77,61.16,6.29,PE
507,Eureka,1,1598756767,39,40.8,-124.16,59.0,3.22,US
508,Kiunga,46,1598756767,56,-6.12,141.29,90.32,3.51,PG
509,Khorramabad,0,1598756767,17,33.49,48.36,77.0,6.93,IR
510,Pathein,100,1598756768,74,16.78,94.73,86.25,9.95,MM
511,Şuhut,0,1598756768,29,38.53,30.55,64.22,2.19,TR
512,Beloha,4,1598756768,61,-25.17,45.05,70.18,6.13,MG
513,Tyup,0,1598756768,40,42.73,78.36,63.12,2.08,KG
514,Samarai,26,1598756768,85,-10.62,150.67,79.29,21.03,PG
515,Billings Metropolitan Area,20,1598756521,14,45.78,-108.5,84.2,10.29,US
516,Guerrero Negro,77,1598756769,77,27.98,-114.06,75.88,10.22,MX
517,Sovetskiy,99,1598756769,94,61.36,63.58,55.71,5.91,RU
518,Yangi Marg`ilon,0,1598756769,35,40.43,71.72,71.6,2.24,UZ
519,Władysławowo,100,1598756769,93,54.79,18.4,55.4,1.12,PL
520,Mogadishu,34,1598756597,83,2.04,45.34,77.4,14.34,SO
521,Igarka,6,1598756769,64,67.47,86.58,60.35,5.19,RU
522,Port Blair,30,1598756588,69,11.67,92.75,85.1,4.38,IN
523,Itambacuri,0,1598756770,90,-18.03,-41.69,65.32,6.33,BR
524,Seddon,100,1598756770,48,-37.81,144.89,66.99,21.92,AU
525,Shumskiy,100,1598756770,70,54.83,99.13,61.74,5.61,RU
526,Fare,2,1598756770,76,-16.7,-151.02,78.08,23.02,PF
527,Dutse,100,1598756770,94,11.76,9.34,70.38,12.53,NG
528,Pine Bluff,1,1598756771,88,34.23,-92.0,75.2,3.36,US
529,Stokmarknes,99,1598756771,92,68.56,14.91,45.0,5.3,NO
530,Mineral Wells,20,1598756771,49,32.81,-98.11,90.0,11.41,US
531,Ribeira Brava,40,1598756771,53,32.65,-17.07,71.6,13.87,PT
532,Kaputa,47,1598756771,59,-8.47,29.66,70.99,1.95,ZM
533,Noumea,36,1598756724,62,-22.28,166.46,68.72,13.87,NC
534,Bilma,65,1598756772,53,18.69,12.92,85.42,17.6,NE
535,Rio Grande,100,1598756772,93,-32.03,-52.1,57.99,1.01,BR
536,Chemal,51,1598756772,60,51.41,86.0,62.11,3.0,RU
537,Jaisalmer,23,1598756772,51,26.91,70.92,91.71,6.35,IN
538,Ginda,75,1598756772,94,30.69,78.49,77.0,4.7,IN
539,Corrente,33,1598756773,83,-3.74,-43.34,75.7,4.0,BR
540,Plettenberg Bay,100,1598756773,86,-34.05,23.37,45.63,8.19,ZA
541,Lillooet,90,1598756773,55,50.69,-121.94,64.4,10.29,CA
542,Savinka,27,1598756773,73,50.08,47.1,63.23,7.05,RU
543,Chengdu,40,1598756773,88,30.67,104.07,84.99,4.47,CN
544,Morondava,69,1598756773,85,-20.28,44.28,74.79,0.36,MG
545,Ciudad Bolivar,93,1598756774,83,8.12,-63.55,78.31,6.73,VE
546,Anzio,5,1598756774,69,41.49,12.62,79.0,9.17,IT
547,Korla,2,1598756774,27,41.76,86.15,74.16,6.29,CN
548,Waipawa,0,1598756774,59,-41.41,175.52,60.8,26.4,NZ
549,Baikunthpur,80,1598756774,89,23.25,82.55,75.11,9.37,IN
550,Znamenskoye,29,1598756775,70,57.13,73.83,61.57,3.74,RU
551,Ponta Delgada,75,1598756775,83,37.73,-25.67,73.4,9.17,PT
552,Omiš,0,1598756775,65,43.44,16.69,78.8,9.17,HR
553,Sahuaripa,100,1598756776,82,29.05,-109.23,74.89,6.53,MX
554,Nuristan,76,1598756609,79,35.3,70.83,46.71,2.82,AF
555,Baruun-Urt,100,1598756776,94,46.68,113.28,51.89,14.2,MN
556,Birjand,0,1598756675,29,32.87,59.22,62.6,21.09,IR
557,Khovd,54,1598756582,49,48.01,91.64,56.52,2.68,MN
558,Kuytun,100,1598756776,93,54.34,101.5,53.91,8.61,RU
559,Makakilo City,40,1598756776,45,21.35,-158.09,87.8,10.29,US
560,Mayor Pablo Lagerenza,1,1598756777,37,-19.93,-60.77,84.06,4.09,PY
561,Aklavik,20,1598756777,42,68.22,-135.01,59.0,8.05,CA
562,Hamada,20,1598756777,79,34.88,132.08,86.0,9.17,JP
563,Mānsa,0,1598756777,65,29.98,75.38,86.14,11.12,IN
564,Xiaoweizhai,0,1598756777,61,26.19,107.51,82.4,3.96,CN
565,Nome,90,1598756778,77,64.5,-165.41,59.0,10.29,US
566,Daru,100,1598756778,83,-9.08,143.21,79.48,17.83,PG
567,Trairi,79,1598756778,77,-3.28,-39.27,78.75,15.75,BR
568,Bubaque,100,1598756778,82,11.28,-15.83,78.85,9.95,GW
569,Magelang,20,1598756778,52,-7.47,110.22,87.8,11.41,ID
570,Wencheng,4,1598756779,64,33.06,113.8,84.22,5.64,CN
571,Kisi,100,1598756779,95,9.08,3.85,69.73,5.03,NG
572,Puerto Baquerizo Moreno,100,1598756779,86,-0.9,-89.6,64.83,14.18,EC
573,Crateús,37,1598756779,67,-5.18,-40.68,74.25,4.32,BR
574,Vardø,47,1598756779,79,70.37,31.11,50.27,11.9,NO
575,Umluj,0,1598756548,46,25.02,37.27,84.0,8.97,SA
576,Bahía Solano,100,1598756780,86,6.23,-77.4,76.1,3.42,CO
577,Sistranda,75,1598756780,93,63.73,8.83,48.2,3.36,NO
578,Moa,7,1598756780,85,20.66,-74.94,79.88,7.99,CU
579,Zacualpan,90,1598756780,74,21.25,-105.17,84.2,4.56,MX
580,Cayenne,93,1598756530,94,4.93,-52.33,78.8,2.24,GF
581,Sur,37,1598756780,59,22.57,59.53,86.74,2.06,OM
582,Burgeo,100,1598756781,81,47.62,-57.62,55.78,2.86,CA
583,Bowen,75,1598756745,50,-20.02,148.23,75.2,20.8,AU
584,Tokat,0,1598756557,74,40.42,36.58,49.75,0.85,TR
